distid	District	DivisionName	region
844	844 - NEW ORLEANS WHS (680)	CORPORATE DIVISION	CORPORATE
846	846 - VERLENE NIEWOHNER (513)	CORPORATE DIVISION	CORPORATE
847	847 - NORCAL WHS (2WH)	CORPORATE DIVISION	CORPORATE
848	848 - JAMES NOWLIN (661)	CORPORATE DIVISION	CORPORATE
849	849 - NW OCALA WHS (620)	CORPORATE DIVISION	CORPORATE
85	085 - SACRAMENTO SERVICE CENTER		CORPORATE
850	850 - ARTURO OLMOS (582)	CORPORATE DIVISION	CORPORATE
851	851 - OMAHA WHS (860)	CORPORATE DIVISION	CORPORATE
852	852 - ORANGE COAST MEM WHS (1CM	CORPORATE DIVISION	CORPORATE
853	853 - ORLANDO WHS (280)	CORPORATE DIVISION	CORPORATE
854	854 - TANYA OSHEA (275)	CORPORATE DIVISION	CORPORATE
855	855 - PANHANDLE WHS (700)	CORPORATE DIVISION	CORPORATE
856	856 - RUSSELL PAPP (222)	CORPORATE DIVISION	CORPORATE
858	858 - PHILADELPHIA WHS (320)	CORPORATE DIVISION	CORPORATE
86	086 - BALTIMORE SERVICE CENTER	SOUTHWEST	WEST
860	860 - MARIO RANNINGER (643)	CORPORATE DIVISION	CORPORATE
861	861 - LOUIS REDONDO (270)	CORPORATE DIVISION	CORPORATE
866	866 - FIBER SALES (999)	CORPORATE DIVISION	CORPORATE
867	867 - ROBERT SALGADO (1RO)	CORPORATE DIVISION	CORPORATE
868	868 - SAN ANTONIO MED WHS (1SA)	CORPORATE DIVISION	CORPORATE
869	869 - SAN ANTONIO SC WHS (1SC)	CORPORATE DIVISION	CORPORATE
87	087 - ST LOUIS SERVICE CENTER		CORPORATE
870	870 - RAMON SANTOS (562)	CORPORATE DIVISION	CORPORATE
872	872 - KELLY SCHECKLER (4KS)	CORPORATE DIVISION	CORPORATE
874	874 - SECURITY SYSTEMS	SECURITY SYSTEMS	CORPORATE
875	875 - RACHEL SMITH (212)	CORPORATE DIVISION	CORPORATE
876	876 - STEVEN C SMITH (563)	CORPORATE DIVISION	CORPORATE
877	877 - SOUTH WHS (600)	CORPORATE DIVISION	CORPORATE
878	878 - SOUTHWEST WHS (640)	CORPORATE DIVISION	CORPORATE
879	879 - ST LOUIS WHS (540)	CORPORATE DIVISION	CORPORATE
88	088 - ATLANTA COE	CENTERS OF EXCELLENCE	C O EXCELLENCE
880	880 - ST JOES MED CTR WHS (1SJ)	CORPORATE DIVISION	CORPORATE
881	881 - ST JOES ORANGE PAV (1SP)	CORPORATE DIVISION	CORPORATE
882	882 - KRISTEN STEVENS (211)	CORPORATE DIVISION	CORPORATE
883	883 - CHIP SWENSON (290)	CORPORATE DIVISION	CORPORATE
884	884 - DARIUS TAYLOR (4DT)	CORPORATE DIVISION	CORPORATE
885	885 - IRVIN THANIEL (821)	CORPORATE DIVISION	CORPORATE
886	886 - TREASURE COAST WHS (560)	CORPORATE DIVISION	CORPORATE
887	887 - UC IRVINE WHS (1UC)	CORPORATE DIVISION	CORPORATE
888	888 - UTAH WHS (6WH)	CORPORATE DIVISION	CORPORATE
889	889 - JUAN VAZQUEZ (209)	CORPORATE DIVISION	CORPORATE
89	089 - ANAHEIM COE	CENTERS OF EXCELLENCE	C O EXCELLENCE
890	890 - PEDRO VELEZ (742)	CORPORATE DIVISION	CORPORATE
891	891 - DANILO VILELA (288)	CORPORATE DIVISION	CORPORATE
892	892 - RAFAEL VINAS (1RV)	CORPORATE DIVISION	CORPORATE
893	893 - W. ST PETE WHS (580)	CORPORATE DIVISION	CORPORATE
894	894 - WHITE MEM HOSP WHS (1MH)	CORPORATE DIVISION	CORPORATE
895	895 - CHICAGO WHS (360)	CORPORATE DIVISION	CORPORATE
896	896 - COLORADO WHS (5WH)	CORPORATE DIVISION	CORPORATE
897	897 - GARY COPE (114)	CORPORATE DIVISION	CORPORATE
898	898 - LOUIS COPP (114)	CORPORATE DIVISION	CORPORATE
899	899 - SCOTT CORDER	CORPORATE DIVISION	CORPORATE
9	09 - CORPORATE	CORPORATE DIVISION	CORPORATE
90	090 - OMAHA, NE	HEARTLAND	CENTRAL
900	900 - INO	CORPORATE DIVISION	CORPORATE
901	901 - MISC TECH (15M)	CORPORATE DIVISION	CORPORATE
